transcript,summary,model_summary,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
"#Person1#: Excuse me. Maine abhi abhi ye kharida aur yeh receipt hai. Mujhe lagta hai ki mujhe paise kam diye gaye hain. Kya aap ispar dekh sakte hain? #Person2#: Oh, sach mein? Ek minute... Aapne dus dollar ka note diya aur maine aapko... Oh, maaf kijiye, yeh paanch dollar bache hain. Mujhe bahut afsos hai.",#Person1# ko #Person2# ke dwara paanch dollar kam diye gaye hain.,#Person1# ne receipt kharida aur receipt ke baare mein poocha.,0.1904761904761905,0.0,0.1904761904761905,0.85687953
#Person1#: Kya main jaan sakta hoon aap kahan ja rahe hain? #Person2#: Haan. Main Beijing Hotel jaana chahta hoon. #Person1#: Mujhe maaf kijiye. Aap galat disha mein ja rahe hain. #Person2#: Oh nahi! Main kya karoon? #Person1#: Chinta mat kijiye. Aap agle stop par utar sakte hain aur overpass se road cross kar sakte hain. Bus stop wahi hai. #Person2#: Bahut dhanyavaad. #Person1#: Mera khushi.,#Person1# ne #Person2# ko Beijing Hotel ka sahi disha dikhaya.,#Person1# Beijing Hotel jaana chahta hai. #Person2# Beijing Hotel jaana chahta hai.,0.3636363636363636,0.09999999999999999,0.3636363636363636,0.87134224
"#Person1#: Kya main aapki madad kar sakta hoon? #Person2#: Mujhe Shenzhen ko ek fax bhejna hai. #Person1#: Kya yeh ek photograph hai ya document? #Person2#: Dono hi. #Person1#: Kya main dono dekh sakta hoon? #Person2#: Yeh lo. #Person1#: Aap yeh document nahi bhej sakte; yeh itna clear nahi hai. Photograph theek hai. #Person2#: Toh, Shenzhen tak pahunchne mein kitna time lagega? #Person1#: Kuch minutes. #Person2#: Great. Kitna hoga? #Person1#: 5 $. Aapko ek aur zyada clear photograph fax ke liye badalni chahiye. #Person2#: Dhanyavaad. Main isse sambhal loonga.",#Person2# ek photograph aur document Shenzhen bhejna chahta hai. #Person1# #Person2# ko batata hai ki document itna clear nahi hai aur ek zyada clear photograph badalne ka sujhav deta hai.,#Person2# Shenzhen ko ek fax bhejna chahta hai. #Person1# ek aur zyada clear photograph fax ke liye badalna chahta hai.,0.56,0.20833333333333334,0.43999999999999995,0.9270468
"#Person1#: Hello, kya yeh ABC Company hai? #Person2#: Haan. Kya main aapki madad kar sakta hoon? #Person1#: Hum abhi Tokyo se aaye hain aur hum aapki company ki reserved car ko har jagah dhoond rahe hain, lekin humein yeh nahi mil rahi. #Person2#: Aapka reservation number kya hai? #Person1#: Hamara reservation number J-221 hai. #Person2#: Thoda rukhiye. Oh, haan. Hamare paas aapka reservation number hai. #Person1#: Aapka matlab hai ki aapne koi car arrange nahi ki. #Person2#: Mujhe afsos hai kehna 'No.' #Person1#: Theek hai, main taxi le loonga. Aap humein refund kaise karenge?","#Person1# ne #Person2# se unki reserved car ki location puchhi, lekin #Person2# ne uska arrangement nahi kiya.",#Person1# ne #Person2# ki company ki reserved car ke baare mein poocha. #Person2# taxi le lega.,0.42424242424242425,0.19354838709677422,0.3636363636363636,0.9020105
"#Person1#: Hey, James, job search kaise chal raha hai? #Person2#: Hi, Sharon, mujhe nahi pata tha. Isme bahut time lagega. Final exams ki tayyari karna mushkil ho raha hai. Tumhara kya? #Person1#: Main lucky thi. Abhi highschool teachers ki kami hai. Maine teen schools mein apply kiya aur har ek ne mujhe position offer kiya. #Person2#: Wah, yeh toh accha hai. Tumhe kaunsa school pasand aaya? #Person1#: Maine abhi tak decide nahi kiya. Of course, mere liye New York mein rehna ya Boston wapas jaana sabse aasan hoga, par shayad main California bhi jaaun. #Person2#: Yeh toh bada move hoga. #Person1#: Toh apne plans ke baare mein batao? #Person2#: Well, maine chhe newspapers mein apply kiya. Pichle hafte, mujhe New York Times ke saath interview hua. #Person1#: Kaisa gaya? #Person2#: Itna accha nahi. Mujhe lagta hai unhe kuch experience wale log chahiye. #Person1#: Kya tumne aur interviews kiye? #Person2#: Nahi, abhi tak nahi. Aisa lagta hai sab aaj kal writer banna chahte hain. Bahar jobs nahi hain. #Person1#: Yeh toh bura hai. #Person2#: Haan, mujhe graduation tak ek job milne ki umeed thi. Ab yeh sambhav nahi lagta. #Person1#: Agar tumhe job nahi milti toh kya karoge? #Person2#: Us case mein, main fall mein master's degree par kaam shuru kar dunga. #Person1#: Good luck.","Sharon James ko batati hai ki uska job search smoothly chal raha hai. Lekin, James ne bahut saari jobs ke liye apply kiya par usse koi ideal job nahi mili. James kehta hai ki agar usse job nahi milti toh wo master's degree par kaam shuru kar dega.",#Person1# James ko job search ke baare mein batata hai. James Sharon ko batata hai ki Sharon graduation tak ek job milne ki umeed thi. James fall mein master's degree par kaam shuru karega.,0.4523809523809524,0.19512195121951217,0.35714285714285715,0.8669787
"#Person1#: Tumhe pata hai. Maine pichle hafte tumhe kai baar call kiya, lekin kisi ne phone nahi uthaya. #Person2#: Achha, main us waqt Sydney mein tha. #Person1#: Kya tum wahan business ke liye gaye the? #Person2#: Nahi, main apni aunt aur unki family se milne gaya tha.",#Person2# Sydney mein tha jab #Person1# ne #Person2# ko call kiya.,#Person1# ne #Person2# ko call kiya lekin kisi ne phone nahi uthaya.,0.5217391304347826,0.47619047619047616,0.5217391304347826,0.89178807
"#Person1#: Tum kitni languages bol sakte ho? #Person2#: Main French aur German bol sakta hoon. #Person1#: Tum inhe kitna achhe se bol sakte ho? #Person2#: Main German kaafi achhe se bol sakta hoon, lekin main French itna achha nahi bol sakta. #Person1#: Kya tum mujhe in sentences ko German mein translate karne mein madad kar sakte ho ab? #Person2#: Nahi, lekin main kal kar paunga.",#Person2# apni language abilities introduce karta hai. #Person1# #Person2# se kuch sentences German mein translate karne ki request karta hai.,#Person1# aur #Person2# French aur German bol sakte hain. #Person2# kal German mein translate karne mein madad karega.,0.36842105263157887,0.16666666666666669,0.3157894736842105,0.8892123
"#Person1#: Kya main late hoon? #Person2#: Nahi, tumhare paas ek ghanta aur paanch minute hain. Tumhari flight 9:30 baje hai. #Person1#: Main bahut excited hoon. #Person2#: Kya tumhare paas sab kuch hai? #Person1#: Haan, mere tickets aur traveler's checks hain. #Person2#: Aur tumhara passport? #Person1#: Haan, chinta mat karo.",#Person2# #Person1# ko flight ke liye documents lene ki yaad dilata hai.,#Person2# late hai kyunki #Person1# late hai.,0.3157894736842105,0.0,0.3157894736842105,0.88553417
"#Person1#: Main hamare holiday ke baare mein soch raha tha aur mujhe Barcelona ya Madrid jaane mein koi problem nahi hai. #Person2#: Oh nahi, phir se Spain nahi! Wahi toh hum pichle saal gaye the. #Person1#: Toh, kya tumhare paas koi behtar suggestions hain? #Person2#: Main Paris ya London ke baare mein soch raha tha, shayad accha hoga. #Person1#: Mujhe London pasand nahi hai. Main chahunga ki hum holiday ke liye abroad jaayein. Chalo Paris chalte hain. #Person2#: Theek hai. Paris, hum aa rahe hain!",#Person1# aur #Person2# apne holiday trip ki destination ke baare mein baat karte hain aur woh Paris par decide karte hain.,#Person2# #Person1# ko batata hai ki #Person1# Paris ya London ke baare mein soch raha tha aur #Person2# ko London pasand nahi hai.,0.3636363636363636,0.14285714285714282,0.2727272727272727,0.88967943
"#Person1#: Good morning, sir. Aapki kaise madad kar sakta hoon? #Person2#: Mujhe ek account kholna hai. #Person1#: Bilkul, sir. Kya aap time deposit savings account kholna chahenge ya checking account? #Person2#: Actually, mujhe dono kholne hain, agar possible ho. #Person1#: Koi dikkat nahi, sir. Aap kaunsa time deposit account kholna chahenge? #Person2#: Mere paas kya choices hain? #Person1#: Minimum time period teen mahine hai. Jitna lamba period hoga, utna hi zyada interest rate milega. Agar aap apna paisa time se pehle nikaalte hain, toh penalties lagengi.",#Person1# #Person2# ko accounts kholne mein madad karta hai aur alag-alag time deposit accounts ke baare mein samjhata hai.,#Person1# ne #Person2# ko time deposit savings account kholne mein madad ki.,0.5625000000000001,0.3333333333333333,0.4375,0.9109079
"#Person1#: Mere pyaare, yeh paanch flights upar hai! #Person2#: Koi baat nahi. Hum isse aadat daal lenge. Waise bhi, wahan upar shaanti hai. #Person1#: Hum sadak aur traffic noise se thoda door hain. #Person2#: Aur upar koi nahi rehta. #Person1#: Kya jagah achhe se furnished hai? #Person2#: Haan, wahan kaafi bright hai aur hamare bachon ke khelne ke liye kaafi badi hai. #Person1#: Kitchen ka kya? #Person2#: Stove aur refrigerator theek kaam kar rahe hain, #Person1#: Aur mujhe koi loose electric wiring nahi dikh rahi jo aag laga sakti hai. #Person2#: Plumbing theek hai na? #Person1#: Plumbing bhi theek lag rahi hai. #Person2#: Toilet flush hota hai aur shower mein garam aur thanda paani hai. #Person1#: Aur sinks mein koi leak nahi lag raha. #Person2#: Jagah theek hai. Chalo wahan jaake phir se dekhte hain.",#Person1# aur #Person2# ek ghar ka mulyankan kar rahe hain jo sadak se door hai. Woh ghar ki facilities check karte hain aur sochte hain ki sab theek hai.,#Person1# aur #Person2# paanch flights upar hain. #Person2# apne bachon ke khelne ke liye kaafi badi hai.,0.2173913043478261,0.09090909090909091,0.2173913043478261,0.87774897
"#Person1#: Kripya baithiye! #Person2#: Dhanyavaad! #Person1#: Ab, aap humare saath secretary ki naukri ke liye apply kar rahe hain. Main aapse kuch sawaal poochna chahunga. Pehle, aap kitni foreign languages bol sakte hain? #Person2#: Well, main English kaafi achhe se bol sakta hoon. Aur mujhe thoda Japanese bhi aata hai. #Person1#: English aur thoda Japanese. Um, kya aap type kar sakte hain? #Person2#: Oh, haan, main type kar sakta hoon. #Person1#: Uh-huh, aur kya aap computer use kar sakte hain? #Person2#: Oh haan. Main computers mein bahut achha hoon. #Person1#: Apple aur PC? #Person2#: Dono, haan. Aur main word processing aur dusri cheezein bhi kar sakta hoon. #Person1#: Theek hai, aur um, kya aap shorthand le sakte hain? #Person2#: Haan, itna fast nahi, par main le sakta hoon. #Person1#: OK, theek hai. Aur kya aap gaadi chala sakte hain? #Person2#: Nahi, mujhe afsos hai main nahi chala sakta. #Person1#: Well, yeh itna important nahi hai.","#Person1# ne #Person2# ka secretary ke liye interview liya. #Person2# foreign languages bol sakta hai, computer use kar sakta hai, shorthand le sakta hai par gaadi nahi chala sakta.",#Person2# secretary ki naukri ke liye apply kar raha hai. #Person1# #Person2# ko batata hai ki #Person2# English aur thoda Japanese bol sakta hai.,0.4528301886792453,0.11764705882352941,0.3018867924528302,0.9017781
"#Person1#: Excuse me. #Person2#: Haan, Miss, main aapke liye kya kar sakta hoon? #Person1#: Maine apna dish lagbhag aadha ghanta pehle order kiya tha, lekin yeh abhi tak nahi aaya. #Person2#: Mujhe iske liye maaf kijiye, main abhi chef se check karta hoon. Miss, maine kitchen se check kiya, aur unhone kaha aapka order abhi aane wala hai. Oh, yeh raha. #Person1#: Dhanyavaad. #Person2#: Miss, main is deri ke liye bahut maafi chahta hoon, isse enjoy kijiye. Aapke liye free ek glass wine inconvenience ke liye. Phir se, mujhe aapko itna intezaar karwane ke liye bahut maaf kijiye. #Person1#: Koi baat nahi.","#Person1# ka dish nahi aaya, isliye #Person2# order check karta hai aur inconvenience ke liye free glass of wine offer karta hai.",#Person1# Miss ko batata hai ki uska dish abhi tak nahi aaya. #Person2# is deri ke liye maafi chahta hai.,0.4285714285714286,0.1,0.380952380952381,0.8903618
